molecule_chembl_id,canonical_smiles,activity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL210323,COC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,active,295.294,2.2027,0.0,4.0,7.6020599913279625
CHEMBL207586,CCCCN1C(=O)C(=O)c2cc(C(=O)OC)ccc21,active,261.277,1.8026,0.0,4.0,7.6020599913279625
CHEMBL207585,CCCN1C(=O)C(=O)c2cc(C(=O)OC)ccc21,active,247.24999999999997,1.4124999999999999,0.0,4.0,7.6020599913279625
CHEMBL64582,COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,active,219.19599999999997,0.6323000000000001,0.0,4.0,7.6020599913279625
CHEMBL207133,CCCN1C(=O)C(=O)c2cc(I)ccc21,active,315.11,2.2305,0.0,2.0,7.6020599913279625
CHEMBL64413,CN1C(=O)C(=O)c2cc(I)ccc21,active,287.056,1.4503000000000001,0.0,2.0,7.6020599913279625
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,active,330.34299999999996,2.6682000000000006,1.0,3.0,6.431798275933005
CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,inactive,280.28299999999996,1.5150000000000001,1.0,3.0,4.903089986991944
CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,246.26599999999996,1.1148999999999998,1.0,3.0,4.721246399047171
CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,232.23899999999998,0.7248,1.0,3.0,4.6020599913279625
CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,204.18499999999997,-0.05540000000000028,1.0,3.0,4.1487416512809245
CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,inactive,363.15400000000005,3.0207000000000015,0.0,2.0,4.301029995663981
CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,inactive,329.137,2.6206000000000014,0.0,2.0,4.180456064458132
CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,inactive,363.15400000000005,3.0207000000000015,0.0,2.0,4.301029995663981
CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,204.18499999999997,-0.05540000000000028,1.0,3.0,4.1487416512809245
CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,232.23899999999998,0.7248,1.0,3.0,4.6020599913279625
CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,246.26599999999996,1.1148999999999998,1.0,3.0,4.721246399047171
CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,inactive,280.28299999999996,1.5150000000000001,1.0,3.0,4.886056647693163
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,active,330.34299999999996,2.6682000000000006,1.0,3.0,6.920818753952375
CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,inactive,329.137,2.6206000000000014,0.0,2.0,4.180000031556896
